epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,649.904,0.71753,0.99055,0.99942,0.03277,0.0033329,0.0033329,0.0033329
2,1300.54,0.19446,0.99587,0.99987,0.01313,0.00633626,0.00633626,0.00633626
3,1941.82,0.23529,0.99555,0.99974,0.01406,0.00900961,0.00900961,0.00900961
4,2604.14,0.2063,0.99593,0.99971,0.01415,0.008515,0.008515,0.008515
5,3269.25,0.16407,0.99642,0.99977,0.01277,0.00802,0.00802,0.00802
6,3926.8,0.14794,0.99694,0.99981,0.01149,0.007525,0.007525,0.007525
7,4591.8,0.13656,0.99723,0.99984,0.01016,0.00703,0.00703,0.00703
8,5254.65,0.1282,0.99739,0.99984,0.00891,0.006535,0.006535,0.006535
9,5919.57,0.11757,0.99758,0.9999,0.0079,0.00604,0.00604,0.00604
