epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,162.67,1.00037,0.99529,1,0.02677,0.0033318,0.0033318,0.0033318
2,324.795,0.18983,0.99471,0.99989,0.0191,0.00633521,0.00633521,0.00633521
3,485.082,0.22819,0.97632,0.99931,0.06335,0.00900862,0.00900862,0.00900862
4,645.811,0.20845,0.99793,1,0.00661,0.008515,0.008515,0.008515
5,805.614,0.14485,0.99897,1,0.00329,0.00802,0.00802,0.00802
6,964.525,0.11662,1,1,0.00085,0.007525,0.007525,0.007525
7,1123.02,0.10385,0.99966,1,0.00154,0.00703,0.00703,0.00703
8,1281.36,0.09114,0.99977,1,0.0007,0.006535,0.006535,0.006535
